Bird.ID,Species,Species.Scientific,Nest.Type.Specific,Nest.Type,Sex,Family,Assay,Vocalizations,Songs,Hovers,Flyovers,Dives,Pecks,Attacks,Physical.Contact,Attack.Rate,Chase,Tail-flicks,Wing Waves,Copulation Attempts,Distance (raw/epochs),Mount.Sex
187,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,9,10,4,0,10,2,0,1,1,0.016666667,0,1,2,0,1.533333333,F
189,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,10,1,2,0,8,0,0,3,3,0.05,0,0,1,0,0.791666667,F
196,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,11,0,15,1,22,0,0,28,28,0.466666667,0,0,7,0,0.358333333,M
195,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,12,4,13,0,10,0,0,21,21,0.35,0,2,1,0,2.041666667,F
199,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,13,1,20,0,3,0,0,41,41,0.683333333,0,0,13,0,1.666666667,M
194,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,14,7,8,0,8,0,0,21,21,0.35,0,2,25,0,1.358333333,F
191,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,15,1,26,0,1,0,0,13,13,0.216666667,0,0,6,0,0.316666667,F
198,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,16,4,8,0,2,0,0,41,41,0.683333333,0,0,17,0,0.116666667,M
190,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,18,2,23,1,11,0,0,4,4,0.076923077,0,1,4,1,1.230769231,F
181,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,19,1,21,0,2,0,0,0,0,0,0,0,5,0,4.333333333,F
182,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,20,0,17,0,5,0,0,0,0,0,0,0,0,0,1,F
183,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,21,0,10,0,2,0,0,0,0,0,0,0,0,0,1.28,F
184,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,22,0,1,0,2,0,0,0,0,0,0,0,1,0,1.216981132,F
185,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,23,0,32,0,0,0,0,0,0,0,0,0,0,0,6.290909091,F
